name,symbol,fullname,Second
AT1G31660,atENP1,"NA", ENP1--Essential Nuclear Protein 1
AT1G31720,MWL1,MODIFYING WALL LIGNIN-1,NA
AT1G31730,AP4E,Adaptor Protein Complex 4E,NA
AT1G31740,BGAL15,beta-galactosidase 15,NA
AT1G31760,SWIB5,SWI/SNF protein complex B5,NA
AT1G31770,ABCG14,ATP-binding cassette G14, AtABCG14--NA
AT1G31780,COG7,Conserved Oligomeric Golgi Complex 7,NA
AT1G31800,CYP97A3,"cytochrome P450, family 97, subfamily A, polypeptide 3", LUT5--LUTEIN DEFICIENT 5
AT1G31810,AFH14,Formin Homology 14, AtFH14--NA
AT1G31812,ACBP,ACYL-COA-BINDING PROTEIN," ACBP6--acyl-CoA-binding protein 6,   AtACBP6--NA"
AT1G31814,FRL2,FRIGIDA like 2,NA
AT1G31817,NFD3,NUCLEAR FUSION DEFECTIVE 3,NA
AT1G31820,PUT1,POLYAMINE UPTAKE TRANSPORTER 1,NA
AT1G31830,AtPUT2,"NA"," PQR2--PARAQUAT-RESISTANT 2,   PUT2--POLYAMINE UPTAKE TRANSPORTER 2"
AT1G31860,AT-IE,"NA", HISN2--HISTIDINE BIOSYNTHESIS 2
AT1G31870,BUD13,Bud siteselection protein 13,NA
AT1G31880,BRX,BREVIS RADIX, NLM9--NA
AT1G31885,NIP3;1,NOD26-like intrinsic protein 3;1,NA
AT1G31930,XLG3,extra-large GTP-binding protein 3,NA
AT1G31935,sORF12,short open reading frame 12,NA
AT1G31970,RH5,"NA", STRS1--STRESS RESPONSE SUPPRESSOR 1
AT1G32050,AtSCAMP5,"NA", SCAMP5--Secretory carrier membrane protein 5
AT1G32060,PRK,phosphoribulokinase,NA
AT1G32070,ATNSI,nuclear shuttle interacting," NSI--nuclear shuttle interacting,   SNAT--serotonin N-acetyl transferase"
AT1G32080,AtLrgB,"NA"," LrgB--NA,   PLGG--NA,   PLGG1--NA"
AT1G32090,OSCA1.8,"NA",NA
AT1G32100,ATPRR1,"NA", PRR1--pinoresinol reductase 1
AT1G32130,ATIWS1,ARABIDOPSIS THALIANA IWS1 (FROM YEAST INTERACTS WITH SPT6)," HNI9--HIGH NITROGEN INSENSITIVE 9,   IWS1--NA"
AT1G32150,AtbZIP68,"NA", bZIP68--basic region/leucine zipper transcription factor 68
AT1G32170,XTH30,xyloglucan endotransglucosylase/hydrolase 30, XTR4--xyloglucan endotransglycosylase 4
AT1G32180,ATCSLD6,cellulose synthase-like D6," CSLD6--CELLULOSE SYNTHASE LIKE D6,   CSLD6--cellulose synthase-like D6"
AT1G32200,ACT1,ACYLTRANSFERASE 1, ATS1--NA
AT1G32210,ATDAD1,DEFENDER AGAINST APOPTOTIC DEATH 1,NA
AT1G32230,ATP8,ARABIDOPSIS THALIANA P8 (INTERACTING PROTEIN)," AtRCD1--NA,   CEO--NA,   CEO1--NA,   RCD1--RADICAL-INDUCED CELL DEATH1,   RIMB1--REDOX IMBALANCED 1"
AT1G32240,KAN2,KANADI 2,NA
AT1G32270,ATSYP24,"NA", SYP24--SYNTAXIN 24
AT1G32280,AtEND1,"NA", END1--END1-LIKE 1
AT1G32300,AtGulLO1,"NA"," GulLO1--L -gulono-1,4-lactone ( L -GulL) oxidase 1"
AT1G32310,SAMBA,SAMBA,NA
AT1G32320,ATMKK10,MAP kinase kinase 10, MKK10--MAP kinase kinase 10
AT1G32330,ATHSFA1D,heat shock transcription factor A1D, HSFA1D--heat shock transcription factor A1D
AT1G32340,NHL8,NDR1/HIN1-like 8,NA
AT1G32350,AOX1D,alternative oxidase 1D,NA
AT1G32361,ATL1F,"NA",NA
AT1G32370,TOM2B,tobamovirus multiplication 2B, TTM1--NA
AT1G32380,PRS2,phosphoribosyl pyrophosphate (PRPP) synthase 2,NA
AT1G32400,TOM2A,tobamovirus multiplication 2A,NA
AT1G32440,PKp3,plastidial pyruvate kinase 3,NA
AT1G32450,AtNPF7.3,"NA"," NPF7.3--NRT1/ PTR family 7.3,   NRT1.5--nitrate transporter 1.5"
AT1G32480,IDH-IV,isocitrate dehydrogenase IV,NA
AT1G32490,EMB2733,EMBRYO DEFECTIVE 2733, ESP3--ENHANCED SILENCING PHENOTYPE 3
AT1G32500,ABCI7,ATP-binding cassette I7," ATNAP6--non-intrinsic ABC protein 6,   NAP6--non-intrinsic ABC protein 6"
AT1G32510,ANAC011,NAC domain containing protein 11, NAC011--NAC domain containing protein 11
AT1G32520,OXR4,oxidation resistance 4,NA
AT1G32540,LOL1,lsd one like 1,NA
AT1G32550,FdC2,ferredoxin C 2,NA
AT1G32560,AtLEA4-1,Late Embryogenesis Abundant 4-1, LEA4-1--Late Embryogenesis Abundant 4-1
AT1G32580,MORF5,Multiple Organellar RNA editing Factor 5,NA
AT1G32582,MIR400,microRNA400,NA
AT1G32640,ATMYC2,"NA"," JAI1--JASMONATE INSENSITIVE 1,   JIN1--JASMONATE INSENSITIVE 1,   MYC2--NA,   RD22BP1--NA,   ZBF1--NA"
AT1G32713,MIR829A,microRNA829A,NA
AT1G32750,GTD1,"NA"," HAC13--HISTONE ACETYLTRANSFERASE OF THE CBP FAMILY  13,   HAF01--NA,   HAF1--HISTONE ACETYLTRANSFERASE OF THE TAFII250 FAMILY 1,   TAF1--TBP-ASSOCIATED FACTOR 1"
AT1G32770,ANAC012,NAC domain containing protein 12," AtSND1--NA,   NAC012--NAC domain containing protein 12,   NST3--NAC SECONDARY WALL THICKENING PROMOTING 3,   SND1--SECONDARY WALL-ASSOCIATED NAC DOMAIN 1"
AT1G32790,CID11,CTC-interacting domain 11,NA
AT1G32850,UBP11,ubiquitin-specific protease 11,NA
AT1G32870,ANAC013,Arabidopsis NAC domain containing protein 13," ANAC13--NAC domain protein 13,   NAC13--NAC domain protein 13"
AT1G32900,GBSS1,granule bound starch synthase 1,NA
AT1G32930,AtGALT31A,"NA", GALT31A--glycosyltransferase of CAZY family GT31 A
AT1G32940,AtSBT3.5,"NA", SBT3.5--NA
AT1G32960,ATSBT3.3,"NA", SBT3.3--NA
AT1G32990,PRPL11,plastid ribosomal protein l11,NA
AT1G32992,MIR856A,microRNA856A,NA
AT1G33040,NACA5,nascent polypeptide-associated complex subunit alpha-like protein 5,NA
AT1G33060,ANAC014,NAC 014, NAC014--NAC 014
AT1G33140,PGY2,PIGGYBACK2,NA
AT1G33240,AT-GTL1,GT2-LIKE 1," ATGTL1--NA,   GTL1--GT-2-like 1"
AT1G33280,ANAC015,NAC domain containing protein 15," BRN1--BEARSKIN 1,   NAC015--NAC domain containing protein 15"
AT1G33340,PICALM8,"NA",NA
AT1G33390,ATFAS4,FASCIATED STEM 4, FAS4--FASCIATED STEM 4
AT1G33400,TPR9,tetratricopeptide repeat 9,NA
AT1G33410,ATNUP160,ARABIDOPSIS NUCLEOPORIN 160," NUP160--NUCLEOPORIN 160,   SAR1--SUPPRESSOR OF AUXIN RESISTANCE1"
AT1G33430,KNS4,"NA"," KNS4--KAONASHI 4,   UPEX1--UNEVEN PATTERN OF EXINE1"
AT1G33440,AtNPF4.4,"NA", NPF4.4--NRT1/ PTR family 4.4
AT1G33520,MOS2,"modifier of snc1, 2",NA
AT1G33540,scpl18,serine carboxypeptidase-like 18,NA
AT1G33560,ADR1,ACTIVATED DISEASE RESISTANCE 1,NA
AT1G33720,CYP76C6,"cytochrome P450, family 76, subfamily C, polypeptide 6",NA
AT1G33730,CYP76C5,"cytochrome P450, family 76, subfamily C, polypeptide 5",NA
AT1G33750,TPS22,Terpene Synthase 22,NA
AT1G33760,ERF022,ETHYLENE RESPONSE FACTOR022,NA
AT1G33800,AtGXMT1,"NA"," GXM3--glucuronoxylan methyltransferase3,   GXMT1--glucuronoxylan methyltransferase 1"
AT1G33830,IAN1,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 1,NA
AT1G33880,IAN2,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 2,NA
AT1G33890,IAN3,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 3,NA
AT1G33900,IAN4,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 4,NA
AT1G33910,IAN5,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 5,NA
AT1G33920,ATPP2-A4,phloem protein 2-A4, PP2-A4--phloem protein 2-A4
AT1G33930,IAN6,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 6,NA
AT1G33950,IAN7,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 7,NA
AT1G33960,AIG1,AVRRPT2-INDUCED GENE 1, IAN8--IMMUNE ASSOCIATED NUCLEOTIDE BINDING 8
AT1G33970,IAN9,IMMUNE ASSOCIATED NUCLEOTIDE BINDING 9,NA
AT1G33980,ATUPF3,"NA", UPF3--NA
AT1G33990,ATMES14,METHYL ESTERASE 14, MES14--methyl esterase 14
AT1G34000,OHP2,one-helix protein 2,NA
AT1G34020,URGT6,UDP-Rha/UDP-Gal transporter 6,NA
AT1G34040,AtTAR3,"NA", TAR3--TRYPTOPHAN AMINOTRANSFERASE RELATED 3
AT1G34060,TAR4,TRYPTOPHAN AMINOTRANSFERASE RELATED 4,NA
AT1G34065,SAMC2,S-adenosylmethionine carrier 2,NA
AT1G34110,RGI5,RGF1 INSENSITIVE 5,NA
AT1G34120,AT5P1,"NA"," AT5PTASE1--MYO-INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 1,   ATIP5PI--NA,   IP5PI--inositol polyphosphate 5-phosphatase I"
AT1G34130,STT3B,staurosporin and temperature sensitive 3-like b,NA
AT1G34140,PAB1,poly(A) binding protein 1,NA
AT1G34170,ARF13,AUXIN RESPONSE FACTOR 13,NA
AT1G34180,anac016,NAC domain containing protein 16, NAC016--NAC domain containing protein 16
AT1G34190,anac017,NAC domain containing protein 17," NAC017--NAC domain containing protein 17,   RAO2--regulators of aox1a 2"
AT1G34210,ATSERK2,"NA", SERK2--somatic embryogenesis receptor-like kinase 2
AT1G34220,ISTL1,IST1-LIKE 1,NA
AT1G34245,EPF2,EPIDERMAL PATTERNING FACTOR 2,NA
AT1G34260,FAB1D,FORMS APLOID AND BINUCLEATE CELLS 1A,NA
AT1G34290,AtRLP5,receptor like protein 5, RLP5--receptor like protein 5
AT1G34310,ARF12,auxin response factor 12,NA
AT1G34320,PSI1,PSK SIMULATOR 1,NA
AT1G34350,TMEM18,Arabidopsis Transmembrane Protein 18,NA
AT1G34355,ATPS1,PARALLEL SPINDLE 1, PS1--PARALLEL SPINDLE 1
AT1G34360,AtIF3-1,Initiation factor 3-1, AtINFC-1--NA
AT1G34370,AtSTOP1,"NA", STOP1--sensitive to proton rhizotoxicity 1
AT1G34380,OEX2,organellar exonuclease 2,NA
AT1G34390,ARF22,auxin response factor 22,NA
AT1G34410,ARF21,auxin response factor 21,NA
AT1G34418,sORF15,short open reading frame 15,NA
AT1G34430,EMB3003,embryo defective 3003,NA
AT1G34460,CYC3,CYCLIN 3, CYCB1;5--CYCLIN B1;5
AT1G34470,ENOR3L5,"NA",NA
AT1G34540,CYP94D1,"cytochrome P450, family 94, subfamily D, polypeptide 1",NA
AT1G34550,EMB2756,EMBRYO DEFECTIVE 2756,NA
AT1G34575,AtBBE14,"NA",NA
AT1G34650,HDG10,homeodomain GLABROUS 10,NA
AT1G34670,AtMYB93,myb domain protein 93, MYB93--myb domain protein 93
AT1G34750,CIPP1,CERK-1 interacting protein phosphatase 1,NA
AT1G34760,GF14 OMICRON,"NA"," GRF11--general regulatory factor 11,   RHS5--ROOT HAIR SPECIFIC 5"
AT1G34770,NSE3,"NA",NA
AT1G34780,APRL4,APR-like 4, ATAPRL4--APR-like 4
AT1G34790,TT1,transparent testa 1, WIP1--WIP domain protein 1
AT1G35112,SADHU2-1,sadhu non-coding retrotransposon 2-1,NA
AT1G35140,EXL1,EXORDIUM like 1, PHI-1--PHOSPHATE-INDUCED 1
AT1G35160,14-3-3PHI,14-3-3 PROTEIN G-BOX FACTOR14 PHI," GF14 PHI--GF14 protein phi chain,   GRF4--GENERAL REGULATORY FACTOR 4"
AT1G35230,AGP5,arabinogalactan protein 5,NA
AT1G35240,ARF20,auxin response factor 20,NA
AT1G35250,ALT2,acyl-lipid thioesterase 2,NA
AT1G35260,MLP165,MLP-like protein 165,NA
AT1G35290,ALT1,acyl-lipid thioesterase 1,NA
AT1G35310,MLP168,MLP-like protein 168,NA
AT1G35440,CYCT1;1,cyclin T1;1,NA
AT1G35460,CFLAP2,AtCFL1 associated protein 2, FBH1--FLOWERING BHLH 1
AT1G35467,RALFL5,RALF-like 5,NA
AT1G35470,RanBPM,Ran-binding protein in the microtubule-organizing centre,NA
AT1G35501,MIR773,"NA", MIR773A--microRNA773A
AT1G35515,MYB8,"NA",NA
AT1G35520,ARF15,auxin response factor 15,NA
AT1G35530,At-FANCM,"NA", FANCM--Fanconi anemia complementation group M
AT1G35537,AtPDFL2.1,"NA",NA
AT1G35540,ARF14,auxin response factor 14,NA
AT1G35560,AtTCP23,"NA", TCP23--TCP domain protein 23
AT1G35580,A/N-InvG,alkaline/neutral invertase G, CINV1--cytosolic invertase 1
AT1G35620,ATPDI8,ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 8," ATPDIL5-2--PDI-like 5-2,   PDI8--PROTEIN DISULFIDE ISOMERASE 8,   PDIL5-2--PDI-like 5-2"
AT1G35630,RMR5,"NA",NA
AT1G35670,ATCDPK2,calcium-dependent protein kinase 2," ATCPK11--NA,   CDPK2--calcium-dependent protein kinase 2,   CPK11--NA"
AT1G35680,RPL21C,chloroplast ribosomal protein L21,NA
AT1G35720,ANN1,annexin 1," ANNAT1--annexin 1,   AtANN1--NA,   ATOXY5--NA,   OXY5--NA"
AT1G35730,APUM9,pumilio 9, PUM9--pumilio 9
AT1G35750,APUM10,pumilio 10, PUM10--pumilio 10
AT1G35850,APUM17,pumilio 17, PUM17--pumilio 17
AT1G35860,TOC75-I,translocon outer membrane complex 75-I,NA
AT1G35910,AtTPPD,"NA", TPPD--trehalose-6-phosphate phosphatase D
AT1G36000,LBD5,LOB domain-containing protein 5,NA
AT1G36060,TG,TRANSLUCENT GREEN, WIND3--NA
AT1G36160,ACC1,acetyl-CoA carboxylase 1," AT-ACC1--NA,   EMB22--EMBRYO DEFECTIVE 22,   GK--GURKE,   GSD1--GLOSSYHEAD 1,   PAS3--PASTICCINO 3,   SFR3--SENSITIVE TO FREEZING 3"
AT1G36180,ACC2,acetyl-CoA carboxylase 2,NA
AT1G36310,AtTRM9,Arabidopsis thaliana tRNA methyltransferase 9, TRM9--tRNA methyltransferase 9
AT1G36340,UBC31,ubiquitin-conjugating enzyme 31,NA
AT1G36370,MSA1,MORE SULPHUR ACCUMULATION1, SHM7--serine hydroxymethyltransferase 7
AT1G36390,CGE2,Chloroplast GrpE 2,NA
AT1G37113,MP,movement protein,NA
AT1G37130,ATNR2,ARABIDOPSIS NITRATE REDUCTASE 2," B29--NA,   CHL3--CHLORATE RESISTANT 3,   NIA2--nitrate reductase 2,   NIA2-1--NA,   NR--NITRATE REDUCTASE,   NR2--NITRATE REDUCTASE 2"
AT1G37140,MCT1,MEI2 C-terminal RRM only like 1,NA
AT1G37150,HCS2,holocarboxylase synthetase 2,NA
AT1G41830,SKS6,SKU5 SIMILAR 6, SKS6--SKU5-similar 6
AT1G42430,ESV1,EARLY STARVATION 1,NA
AT1G42470,AtNPC1 - 1,Niemann-Pick disease type C1-1,NA
AT1G42540,ATGLR3.3,"NA", GLR3.3--glutamate receptor 3.3
AT1G42550,PMI1,PLASTID MOVEMENT IMPAIRED1,NA
AT1G42560,ATMLO9,ARABIDOPSIS THALIANA MILDEW RESISTANCE LOCUS O 9, MLO9--MILDEW RESISTANCE LOCUS O 9
AT1G42970,GAPB,glyceraldehyde-3-phosphate dehydrogenase B subunit,NA
AT1G42990,ATBZIP60,basic region/leucine zipper motif 60," BZIP60--basic region/leucine zipper motif 60,   BZIP60--Bbasic region/leucine zipper motif 60"
AT1G43040,SAUR58,SMALL AUXIN UPREGULATED RNA 58,NA
AT1G43130,LCV2,like COV 2,NA
AT1G43160,RAP2.6,related to AP2 6,NA
AT1G43170,ARP1,ribosomal protein 1," emb2207--embryo defective 2207,   RP1--ribosomal protein 1,   RPL3A--NA"
AT1G43190,PTB3,polypyrimidine tract-binding protein 3,NA
AT1G43560,Aty2,thioredoxin Y2, ty2--thioredoxin Y2
AT1G43620,TT15,TRANSPARENT TESTA 15," TTG15--transparent testa glabrous 15,   UGT80B1--NA"
AT1G43640,AtTLP5,tubby like protein 5, TLP5--tubby like protein 5
AT1G43650,UMAMIT22,Usually multiple acids move in and out Transporters 22,NA
AT1G43670,AtcFBP,"Arabidopsis thaliana cytosolic fructose-1,6-bisphosphatase"," cyfbp--NA,   FBP--fructose-1,6-bisphosphatase,   FINS1--FRUCTOSE INSENSITIVE 1"
AT1G43700,AtVIP1,"NA"," SUE3--sulphate utilization efficiency 3,   VIP1--VIRE2-interacting protein 1"
AT1G43710,ATSDC1,Arabidopsis thaliana serine decarboxylase 1," EMB1075--embryo defective 1075,   SDC1--serine decarboxylase 1"
AT1G43780,scpl44,serine carboxypeptidase-like 44,NA
AT1G43790,TED6,tracheary element differentiation-related 6,NA
AT1G43800,AAD6,ACYL?ACYL CARRIER PROTEIN (ACP) DESATURASE 6," FTM1--FLORAL TRANSITION AT THE MERISTEM1,   SAD6--STEAROYL-ACYL CARRIER PROTEIN &#916;9-DESATURASE6"
AT1G43850,SEU,seuss,NA
AT1G43890,ATRAB-C1,ARABIDOPSIS RAB GTPASE HOMOLOG C1," ATRAB18--ARABIDOPSIS RAB GTPASE HOMOLOG B18,   ATRABC1--ARABIDOPSIS RAB GTPASE HOMOLOG C1,   RAB18--RAB GTPASE HOMOLOG B18,   RAB18-1--RAB GTPASE HOMOLOG 18-1,   RABC1--RAB GTPASE HOMOLOG C1"
AT1G43950,ARF23,auxin response factor 23,NA
AT1G44000,SGRL,STAY-GREEN LIKE,NA
AT1G44080,AtFDA1,F-box/DUF295 Ancestral 1,NA
AT1G44090,ATGA20OX5,ARABIDOPSIS THALIANA GIBBERELLIN 20-OXIDASE 5, GA20OX5--gibberellin 20-oxidase 5
AT1G44100,AAP5,amino acid permease 5,NA
AT1G44110,CYCA1;1,Cyclin A1;1,NA
AT1G44120,CSI2,CELLULOSE SYNTHASE INTERACTIVE 2,NA
AT1G44170,ALDH3H1,aldehyde dehydrogenase 3H1, ALDH4--aldehyde dehydrogenase 4
AT1G44318,hemb2,"NA",NA
AT1G44350,ILL6,IAA-leucine resistant (ILR)-like gene 6,NA
AT1G44446,ATCAO,ARABIDOPSIS THALIANA CHLOROPHYLL A OXYGENASE," CAO--CHLOROPHYLL A OXYGENASE,   CH1--CHLORINA 1"
AT1G44542,CYCLASE3,CYCLASE3,NA
AT1G44575,CP22,"NA"," NPQ4--NONPHOTOCHEMICAL QUENCHING 4,   PSBS--PHOTOSYSTEM II SUBUNIT S"
AT1G44750,ATPUP11,purine permease 11, PUP11--purine permease 11
AT1G44800,SIAR1,Siliques Are Red 1, UMAMIT18--Usually multiple acids move in and out Transporters 18
AT1G44810,GPL4,GeBP-LIKE 4,NA
AT1G44830,AtERF014,"NA", ERF014--ERF transcription factor 14
AT1G44900,ATMCM2,"NA", MCM2--MINICHROMOSOME MAINTENANCE 2
AT1G44910,ATPRP40A,pre-mRNA-processing protein 40A, PRP40A--pre-mRNA-processing protein 40A
AT1G44935,SADHU9-1,sadhu non-coding retrotransposon 9-1,NA
AT1G44970,PRX9,PEROXIDASE9,NA
AT1G44980,ATPME7,A. THALIANA PECTIN METHYLESTERASE 7, PME7--pectin methylesterase 7
AT1G45050,ATUBC2-1,"NA", UBC15--Arabidopsis thaliana ubiquitin-conjugating enzyme 15
AT1G45130,AtBGAL5,"NA", BGAL5--beta-galactosidase 5
AT1G45145,ATH5,THIOREDOXIN H-TYPE 5," ATTRX5--thioredoxin H-type 5,   LIV1--LOCUS OF INSENSITIVITY TO VICTORIN 1,   TRX-h5--THIOREDOXIN H-TYPE 5,   TRX5--thioredoxin H-type 5"
AT1G45190,DD18,downregulated in DIF1 18,NA
AT1G45191,BGLU1,beta glucosidase 1,NA
AT1G45201,ATTLL1,ARABIDOPSIS THALIANA TRIACYLGLYCEROL LIPASE-LIKE 1, TLL1--triacylglycerol lipase-like 1
AT1G45231,TGS1,Trimethylguanosine Synthase 1,NA
AT1G45233,AtTHO5,"NA", THO5--NA
AT1G45249,ABF2,abscisic acid responsive elements-binding factor 2," AREB1--ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING PROTEIN 2,   AtABF2--NA,   ATAREB1--NA"
AT1G45474,Lhca5,photosystem I light harvesting complex gene 5,NA
AT1G45616,AtRLP6,receptor like protein 6, RLP6--receptor like protein 6
AT1G45688,CC1,companion of cellulose synthase 1,NA
AT1G45976,SBP1,S-ribonuclease binding protein 1,NA
AT1G46264,AT-HSFB4,"NA"," HSFB4--heat shock transcription factor  B4,   SCZ--SCHIZORIZA"
AT1G46408,AGL97,AGAMOUS-like 97,NA
AT1G46480,WOX4,WUSCHEL related homeobox 4,NA
AT1G46768,RAP2.1,related to AP2 1,NA
AT1G47056,VFB1,VIER F-box proteine 1,NA
AT1G47128,RD21,responsive to dehydration 21, RD21A--responsive to dehydration 21A
AT1G47200,WPP2,WPP domain protein 2,NA
AT1G47210,CYCA3;2,cyclin-dependent protein kinase 3;2,NA
AT1G47220,CYCA3;3,Cyclin A3;3,NA
AT1G47230,CYCA3;4,CYCLIN A3;4,NA
AT1G47240,ATNRAMP2,"NA", NRAMP2--NRAMP metal ion transporter 2
AT1G47250,PAF2,20S proteasome alpha subunit F2,NA
AT1G47260,APFI,"NA", GAMMA CA2--gamma carbonic anhydrase 2
AT1G47270,AtTLP6,tubby like protein 6, TLP6--tubby like protein 6
AT1G47290,3BETAHSD/D1,3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1, AT3BETAHSD/D1--3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1
AT1G47370,RBA1,esponse to the bacterial type III effector protein HopBA1,NA
AT1G47395,FEP2,FE-UPTAKE-INDUCING PEPTIDE2, IMA2--IRONMAN 2
AT1G47400,FEP3,FE-UPTAKE-INDUCING PEPTIDE3, IMA1--IRONMAN 1
At1g47401,IMA8,IRONMAN8,NA
AT1G47420,SDH5,succinate dehydrogenase 5,NA
AT1G47485,CEP1,C-terminally encoded peptide 1,NA
AT1G47490,ATRBP47C,RNA-binding protein 47C, RBP47C--RNA-binding protein 47C
AT1G47500,ATRBP47C',RNA-binding protein 47C', RBP47C'--RNA-binding protein 47C'
AT1G47510,5PTASE11,inositol polyphosphate 5-phosphatase 11, AT5PTASE11--ARABIDOPSIS THALIANA INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 11
AT1G47530,DTX33,"NA",NA
AT1G47550,SEC3A,exocyst complex component sec3A,NA
AT1G47560,SEC3B,exocyst complex component sec3B,NA
AT1G47580,DYW1,DYW domain protein 1,NA
AT1G47590,ATPUP20,"NA", PUP20--purine permease 20
AT1G47600,BGLU34,beta glucosidase 34, TGG4--THIOGLUCOSIDE GLUCOHYDROLASE 4
AT1G47603,ATPUP19,purine permease 19, PUP19--purine permease 19
AT1G47620,CYP96A8,"cytochrome P450, family 96, subfamily A, polypeptide 8",NA
AT1G47630,CYP96A7,"cytochrome P450, family 96, subfamily A, polypeptide 7",NA
AT1G47710,AtSERPIN1,"NA", SERPIN1--NA
AT1G47720,OSB1,Organellar Single-stranded,NA
AT1G47750,PEX11A,peroxin 11A,NA
AT1G47760,AGL102,AGAMOUS-like 102,NA
AT1G47830,AP2S,ADAPTOR 55 PROTEIN 2 small subunit,NA
AT1G47840,HXK3,hexokinase 3,NA
AT1G47870,ATE2F2,"NA"," ATE2FC--ARABIDOPSIS THALIANA HOMOLOG OF E2F C,   E2FC--NA"
AT1G47890,AtRLP7,receptor like protein 7, RLP7--receptor like protein 7
AT1G47960,ATC/VIF1,CELL WALL / VACUOLAR INHIBITOR OF FRUCTOSIDASE 1," AtCIF1--NA,   C/VIF1--cell wall / vacuolar inhibitor of fructosidase 1,   CIF1--NA"
AT1G47990,ATGA2OX4,Arabidopsis thaliana gibberellin 2-oxidase 4, GA2OX4--gibberellin 2-oxidase 4
AT1G48000,AtMYB112,myb domain protein 112, MYB112--myb domain protein 112
AT1G48020,ATPMEI1,ARABIDOPSIS THALIANA PECTIN METHYLESTERASE INHIBITOR 1, PMEI1--pectin methylesterase inhibitor 1
AT1G48030,mtLPD1,mitochondrial lipoamide dehydrogenase 1,NA
AT1G48050,ATKU80,ARABIDOPSIS THALIANA KU80 HOMOLOG, KU80--NA
AT1G48100,PGX3,POLYGALACTURONASE INVOLVED IN EXPANSION3,NA
AT1G48110,ECT7,evolutionarily conserved C-terminal region 7,NA
AT1G48120,MAIL3,MAIN-LIKE 3,NA
AT1G48130,ATPER1,1-cysteine peroxiredoxin 1, PER1--1-cysteine peroxiredoxin 1
AT1G48140,DPMS3,dolichol phosphate mannose synthase 3,NA
AT1G48150,AGL74,agamous-like 74,NA
AT1G48175,AtTAD2,"NA"," emb2191--embryo defective 2191,   TAD2--tRNA adenosine deaminase 2"
AT1G48240,ATNPSN12,"NA", NPSN12--novel plant snare 12
AT1G48260,CIPK17,CBL-interacting protein kinase  17, SnRK3.21--SNF1-RELATED PROTEIN KINASE 3.21
AT1G48267,MIR161,microRNA161,NA
AT1G48270,ATGCR1,"NA", GCR1--G-protein-coupled receptor 1
AT1G48280,IPGAL2,IPGA1-LIKE2,NA
AT1G48300,DGAT3,diacylglycerol acyltransferase 3,NA
AT1G48310,CHA18,"NA", CHR18--chromatin remodeling factor18
AT1G48320,DHNAT1,DHNA-CoA thioesterase 1,NA
AT1G48350,EMB3105,EMBRYO DEFECTIVE 3105,NA
AT1G48360,FAN1,Fanconi/FANCD2 associ- ated nuclease I,NA
AT1G48370,YSL8,YELLOW STRIPE like 8,NA
AT1G48380,HYP7,HYPOCOTYL 7, RHL1--ROOT HAIRLESS 1
AT1G48410,AGO1,ARGONAUTE 1," AtAGO1--NA,   ICU9--NA"
AT1G48420,ACD1,1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID DEAMINASE 1," ATACD1--A. THALIANA 1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID DEAMINASE 1,   AtDCD--NA,   D-CDES--D-cysteine desulfhydrase,   DCD--D-cysteine desulfhydrase"
AT1G48470,GLN1;5,glutamine synthetase 1;5,NA
AT1G48480,RKL1,receptor-like kinase 1,NA
AT1G48490,IRE3,incomplete root hair elongation 3,NA
AT1G48500,AtJAZ4,"NA"," JAZ4--jasmonate-zim-domain protein 4,   TIFY6A--TIFY DOMAIN PROTEIN 6A"
AT1G48520,GATB,GLU-ADT subunit B,NA
AT1G48550,VPS26C,Vacuolar Protein Sorting,NA
AT1G48590,CAR5,C2-domain ABA-related 5,NA
AT1G48600,AtPMEAMT,"NA"," AtPMT2--Phosphoethanolamine methyltransferase2,   PMEAMT--phosphoethanolamine N-methyltransferase"
AT1G48605,ATHAL3B,"NA"," HAL3--HALOTOLERANCE DETERMINANT 3,   HAL3B--HALOTOLERANCE DETERMINANT 3B"
AT1G48620,HON5,high mobility group A5,NA
AT1G48630,RACK1B,receptor for activated C kinase 1B, RACK1B_AT--receptor for activated C kinase 1B
AT1G48635,PEX3,peroxin 3, PEX3-2--PEROXIN 3-2
AT1G48700,CP5,CUPULIFORMIS5,NA
AT1G48740,CP4,CUPULIFORMIS4,NA
AT1G48742,MIR157D,microRNA157D,NA
AT1G48760,AP-3delta,Adaptor protein 3 delta," delta-ADR--delta-adaptin,   PAT4--PROTEIN-AFFECTED TRAFFICKING 4"
AT1G48790,AMSH1,associated molecule with the SH3 domain of STAM 1,NA
